Ticker,Currency
SQ,USD
APT.AX,AUD
ADYEN.AS,EUR
PYPL,USD
INTU,USD
STNE,USD
XRO.AX,AUD
FIS,USD
FISV,USD
BKI,USD
BILL,USD
SSNC,USD
NEXI.MI,EUR
PAGS,USD
GWRE,USD
TEMN.SW,CHF
SIM.CO,DKK
TREE,USD
ENV,USD
HYQ.DE,EUR
HQY,USD
VIRT,USD
Z1P.AX,AUD
EPAY,USD
SPNS,USD
IRE.AX,AUD
4479.T,JPY
HUB.AX,AUD
LEON.SW,CHF
MITK,USD
BCOR,USD
GSKY,USD
LC,USD
MELI,USD
Z,USD
TCEHY,USD
SE,USD
PINS,USD
ICE,USD
BABA,USD
4689.T,JPY
3690.HK,HKD
AMZN,USD
AAPL,USD
6060.HK,HKD
SNAP,USD
TWLO,USD
FB,USD
SPLK,USD
DOCU,USD
8473.T,JPY
WDAY,USD
CRM,USD
TSM,USD
DISCA,USD
WORK,USD
IBKR,USD
SCHW,USD
9923.HK,HKD
NVDA,USD
TRU,USD
HDB,USD
TCSG.ME,RUB
PDD,USD
ZS,USD
JD,USD
VRSK,USD
SI,USD
LSPD,USD
MA,USD
AXP,USD
V,USD
GPN,USD
DFS,USD
FLT,USD
3769.T,JPY
WLN.PA,EUR
ACIW,USD
FOUR,USD
GDOT,USD
ING.PA,EUR
WU,USD
WEX,USD
EEFT,USD
NCR,USD
EVTC,USD
EVOP,USD
CIEL3.SA,BRL
NETW.L,GBP
EML.AX,AUD
QIWI,USD
IIIV,USD
IMXI,USD
0327.HK,HKD
PAYS,USD
8584.T,JPY
1806.HK,HKD
PAY.L,GBP
4847.T,JPY
UEPS,USD
LX,USD
FINV,USD
YRD,USD
QD,USD
JFIN,USD
JT,USD
WEI,USD
ENVA,USD
QFIN,USD
GS,USD
EFX,USD
XYF,USD
AIHS,USD
SOS,USD
HX,USD
FICO,USD
CNF,USD
CLGX,USD
JFU,USD
DNB,USD
OMF,USD
ELVT,USD
